"filename", "language", "JavaScript", "XML", "JavaScript JSX", "Markdown", "CSS", "JSON", "comment", "blank", "total"
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\createEventListeners.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 1, 3
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\index.jsx", "JavaScript JSX", 0, 0, 456, 0, 0, 0, 16, 15, 487
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\PlayerContext newCopy.jsx", "JavaScript JSX", 0, 0, 260, 0, 0, 0, 59, 49, 368
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\PlayerContext oldCopy.jsx", "JavaScript JSX", 0, 0, 239, 0, 0, 0, 48, 44, 331
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\PlayerContext.jsx", "JavaScript JSX", 0, 0, 791, 0, 0, 0, 263, 110, 1164
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\Sequense.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 1, 9
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\helperFunctions.js", "JavaScript", 118, 0, 0, 0, 0, 0, 61, 26, 205
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\testCardData copy.json", "JSON", 0, 0, 0, 0, 0, 81, 0, 1, 82
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\testCardData.js", "JavaScript", 382, 0, 0, 0, 0, 0, 0, 2, 384
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\testCardData.json", "JSON", 0, 0, 0, 0, 0, 133, 0, 1, 134
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\testCardTemplateData.json", "JSON", 0, 0, 0, 0, 0, 66, 0, 1, 67
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\testPlayerData.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 1, 19
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\context\playerContext\utilityFunctions.js", "JavaScript", 41, 0, 0, 0, 0, 0, 5, 9, 55
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\hooks\useCardModal.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 1, 6, 16
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\hooks\useSecondaryModal.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 1, 6, 16
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\index.css", "CSS", 0, 0, 0, 0, 243, 0, 21, 20, 284
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\main.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 3, 12
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Classes\classBuilding.js", "JavaScript", 56, 0, 0, 0, 0, 0, 15, 7, 78
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Classes\classCard_Craft.js", "JavaScript", 13, 0, 0, 0, 0, 0, 158, 3, 174
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Classes\classCard_Old.js", "JavaScript", 124, 0, 0, 0, 0, 0, 40, 21, 185
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Classes\classCard_V2.js", "JavaScript", 196, 0, 0, 0, 0, 0, 95, 32, 323
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Classes\classPlayer.js", "JavaScript", 351, 0, 0, 0, 0, 0, 163, 49, 563
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Classes\classREG.js", "JavaScript", 8, 0, 0, 0, 0, 0, 6, 3, 17
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Classes\classSP.js", "JavaScript", 50, 0, 0, 0, 0, 0, 27, 18, 95
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Classes\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Classes\playerAPI.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 8, 46
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Factories\cardFactory copy.js", "JavaScript", 83, 0, 0, 0, 0, 0, 18, 22, 123
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Factories\cardFactory.js", "JavaScript", 31, 0, 0, 0, 0, 0, 8, 6, 45
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Factories\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\models\Factories\playerFactory.js", "JavaScript", 58, 0, 0, 0, 0, 0, 7, 4, 69
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\myAssets\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 5, 3, 29
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\myAssets\mapCardRepresentationImages\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\myAssets\maps\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 3, 16
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\myAssets\maps\mapSelection\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 2, 7
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\pages\Battle.jsx", "JavaScript JSX", 0, 0, 157, 0, 0, 0, 63, 36, 256
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\pages\Battleground.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 0, 4, 11, 58
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 29, 8, 67
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\pages\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\styles\index.js", "JavaScript", 86, 0, 0, 0, 0, 0, 32, 19, 137
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\utils\Onboard.js", "JavaScript", 103, 0, 0, 0, 0, 0, 1, 17, 121
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\utils\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\utils\secondsToDaysHrsMinSec.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 2026, 43, 7351, 46, 1987, 312, 2670, 1499, 15934
